recording,window,slot,channel,animal,genotype
ArxRosa-1201__0,5182,Ch B,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,5182,Ch C,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,5182,Ch D,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,5182,Ch E,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,5182,Ch F,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,5182,Ch G,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,5182,Ch H,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,8180,Ch A,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,8180,Ch B,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,8180,Ch C,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,8180,Ch D,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,8180,Ch E,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,8180,Ch F,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,8180,Ch G,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,8180,Ch H,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12151,Ch A,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12151,Ch B,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12151,Ch C,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12151,Ch D,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12151,Ch E,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12151,Ch F,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12151,Ch G,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12151,Ch H,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12587,Ch A,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12587,Ch B,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12587,Ch C,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12587,Ch D,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12587,Ch E,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12587,Ch F,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12587,Ch G,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,12587,Ch H,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,16971,Ch A,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,16971,Ch B,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,16971,Ch C,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,16971,Ch D,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,16971,Ch E,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,16971,Ch F,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,16971,Ch G,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__0,16971,Ch H,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,1327,Ch A,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,1327,Ch B,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,1327,Ch C,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,1327,Ch D,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,1327,Ch E,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,1327,Ch F,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,1327,Ch G,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,1327,Ch H,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3065,Ch A,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3065,Ch B,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3065,Ch C,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3065,Ch D,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3065,Ch E,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3065,Ch F,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3065,Ch G,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3065,Ch H,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3513,Ch A,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3513,Ch B,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3513,Ch C,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3513,Ch D,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3513,Ch E,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3513,Ch F,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3513,Ch G,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,3513,Ch H,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,6516,Ch A,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,6516,Ch B,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,6516,Ch C,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,6516,Ch D,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,6516,Ch E,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,6516,Ch F,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,6516,Ch G,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,6516,Ch H,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,10506,Ch A,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,10506,Ch B,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,10506,Ch C,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,10506,Ch D,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,10506,Ch E,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,10506,Ch F,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,10506,Ch G,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,10506,Ch H,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,11136,Ch A,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,11136,Ch B,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,11136,Ch C,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,11136,Ch D,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,11136,Ch E,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,11136,Ch F,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,11136,Ch G,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,11136,Ch H,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,14777,Ch A,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,14777,Ch B,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,14777,Ch C,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,14777,Ch D,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,14777,Ch E,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,14777,Ch F,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,14777,Ch G,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,14777,Ch H,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,17128,Ch A,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,17128,Ch B,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,17128,Ch C,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,17128,Ch D,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,17128,Ch E,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,17128,Ch F,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,17128,Ch G,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__1,17128,Ch H,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,2138,Ch A,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,2138,Ch B,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,2138,Ch C,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,2138,Ch D,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,2138,Ch E,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,2138,Ch F,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,2138,Ch G,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,2138,Ch H,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,4057,Ch A,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,4057,Ch B,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,4057,Ch C,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,4057,Ch D,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,4057,Ch E,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,4057,Ch F,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,4057,Ch G,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,4057,Ch H,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6557,Ch A,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6557,Ch B,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6557,Ch C,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6557,Ch D,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6557,Ch E,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6557,Ch F,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6557,Ch G,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6557,Ch H,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6861,Ch A,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6861,Ch B,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6861,Ch C,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6861,Ch D,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6861,Ch E,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6861,Ch F,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6861,Ch G,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,6861,Ch H,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11553,Ch A,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11553,Ch B,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11553,Ch C,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11553,Ch D,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11553,Ch E,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11553,Ch F,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11553,Ch G,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11553,Ch H,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11824,Ch A,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11824,Ch B,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11824,Ch C,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11824,Ch D,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11824,Ch E,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11824,Ch F,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11824,Ch G,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,11824,Ch H,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,13631,Ch A,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,13631,Ch B,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,13631,Ch C,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,13631,Ch D,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,13631,Ch E,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,13631,Ch F,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,13631,Ch G,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,13631,Ch H,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,14734,Ch A,LHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,14734,Ch B,RMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,14734,Ch C,LVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,14734,Ch D,LMot,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,14734,Ch E,LBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,14734,Ch F,RHip,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,14734,Ch G,RVis,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1201__2,14734,Ch H,RBar,ArxRosa-1201,Arx(F/y)-Rosa(+/wt)-Tam
ArxRosa-1211__0,181,Ch A,RVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,181,Ch B,RBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,181,Ch C,LHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,181,Ch D,RHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,181,Ch E,LBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,181,Ch F,RMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,181,Ch G,LMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,181,Ch H,LVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,647,Ch A,RHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,647,Ch B,LBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,647,Ch C,RVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,647,Ch D,LMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,647,Ch E,RMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,647,Ch F,LHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,647,Ch G,LVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,647,Ch H,RBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,3559,Ch A,LVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,3559,Ch B,RBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,3559,Ch C,LMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,3559,Ch D,LBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,3559,Ch E,RHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,3559,Ch F,LHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,3559,Ch G,RMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,3559,Ch H,RVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,4720,Ch A,RMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,4720,Ch B,LMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,4720,Ch C,RVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,4720,Ch D,RHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,4720,Ch E,RBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,4720,Ch F,LHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,4720,Ch G,LVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,4720,Ch H,LBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,5182,Ch A,LVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,5182,Ch B,RHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,5182,Ch C,RVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,5182,Ch D,RBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,5182,Ch E,RMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,5182,Ch F,LHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,5182,Ch G,LBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,5182,Ch H,LMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,8180,Ch A,RVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,8180,Ch B,RMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,8180,Ch C,RHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,8180,Ch D,LHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,8180,Ch E,RBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,8180,Ch F,LBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,8180,Ch G,LVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,8180,Ch H,LMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12151,Ch A,LVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12151,Ch B,RVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12151,Ch C,RMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12151,Ch D,LHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12151,Ch E,LBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12151,Ch F,RHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12151,Ch G,LMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12151,Ch H,RBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12587,Ch A,LHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12587,Ch B,LVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12587,Ch C,LMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12587,Ch D,RHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12587,Ch E,RBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12587,Ch F,LBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12587,Ch G,RMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,12587,Ch H,RVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,16971,Ch A,LBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,16971,Ch B,RVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,16971,Ch C,LMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,16971,Ch D,LHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,16971,Ch E,RHip,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,16971,Ch F,LVis,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,16971,Ch G,RBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__0,16971,Ch H,RMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__1,1327,Ch A,RMot,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
ArxRosa-1211__1,1327,Ch B,LBar,ArxRosa-1211,Arx(F/y)-Rosa(+/wt)-Sham
